,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,background
road,1336,12,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,1410
sidewalk,2,708,0,0,15,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2418
building,0,0,1297,8,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3255
wall,0,0,2,218,16,8,0,0,2,4,0,0,0,0,2,0,0,0,0,988
fence,0,17,1,39,554,0,0,0,1,20,0,0,0,0,2,1,0,0,1,2506
pole,0,0,0,1,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,127
traffic light,0,0,0,0,0,0,351,3,0,0,0,0,0,0,0,0,0,1,0,976
traffic sign,0,0,0,0,0,0,3,685,0,0,0,1,0,0,0,0,0,0,0,441
vegetation,0,3,2,0,5,0,0,0,786,38,1,0,0,1,1,2,0,0,0,2962
terrain,0,34,0,4,12,0,0,0,42,214,0,1,0,1,0,0,0,0,0,1879
sky,0,0,0,0,0,0,0,0,2,0,1321,0,0,0,0,0,0,0,0,1795
person,0,0,0,0,0,0,0,0,0,0,0,458,2,0,1,0,0,0,0,595
rider,0,0,0,0,0,0,0,1,0,0,0,5,37,0,0,0,0,0,1,266
car,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,13,8,0,0,0,1558
truck,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88,8,0,0,0,492
bus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,162,2,0,0,517
train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,49
motorcycle,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,25,4,137
bicycle,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,77,220
background,9,428,78,346,454,762,443,474,436,256,52,352,30,91,267,324,76,22,74,91723
