,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,background
road,1188,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,662
sidewalk,0,340,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,413
building,0,0,1009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885
wall,0,0,0,108,5,1,0,0,1,2,0,0,0,0,1,0,0,0,0,296
fence,0,2,0,14,279,0,0,0,0,4,0,0,0,0,0,0,0,0,0,613
pole,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2
traffic light,0,0,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,84
traffic sign,0,0,0,0,0,0,1,354,0,0,0,0,0,0,0,0,0,0,0,66
vegetation,0,0,0,0,0,0,0,0,325,13,0,0,0,0,0,0,0,0,0,285
terrain,0,7,0,0,0,0,0,0,7,99,0,0,0,0,0,0,0,0,0,417
sky,0,0,0,0,0,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,434
person,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,55
rider,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,22
car,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,4,3,0,0,0,282
truck,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,5,0,0,0,211
bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,128,1,0,0,210
train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,37
motorcycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,25
bicycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6
background,159,851,372,495,772,1388,736,808,940,446,236,701,67,299,301,369,77,37,139,109309
